iter	Passed	Remaining
0	7	7700
1	15	7873
2	20	6768
3	27	6749
4	33	6700
5	40	6681
6	46	6586
7	51	6435
8	58	6480
9	65	6493
10	72	6515
11	78	6493
12	85	6526
13	92	6521
14	100	6584
15	107	6580
16	113	6576
17	121	6615
18	128	6609
19	134	6612
20	141	6599
21	150	6671
22	157	6681
23	164	6695
24	171	6684
25	178	6676
26	184	6659
27	191	6646
28	198	6641
29	205	6631
30	212	6642
31	219	6634
32	228	6682
33	235	6678
34	242	6688
35	249	6685
36	257	6695
37	264	6690
38	271	6687
39	278	6681
40	285	6681
41	292	6681
42	299	6672
43	306	6668
44	313	6663
45	321	6659
46	328	6664
47	336	6671
48	343	6669
49	351	6678
50	359	6681
51	365	6670
52	372	6653
53	380	6658
54	386	6648
55	394	6645
56	400	6631
57	407	6618
58	414	6609
59	421	6599
60	428	6595
61	434	6580
62	443	6600
63	450	6587
64	458	6595
65	465	6583
66	472	6580
67	479	6568
68	486	6558
69	492	6549
70	499	6539
71	506	6532
72	513	6525
73	520	6517
74	527	6507
75	535	6506
76	542	6499
77	549	6497
78	556	6491
79	564	6491
80	571	6487
81	579	6482
82	586	6475
83	593	6472
84	600	6467
85	608	6461
86	615	6456
87	622	6446
88	629	6438
89	636	6438
90	643	6428
91	651	6426
92	658	6419
93	664	6400
94	671	6401
95	679	6400
96	687	6399
97	695	6398
98	702	6392
99	709	6381
100	716	6373
101	722	6362
102	729	6356
103	736	6345
104	743	6339
105	750	6329
106	756	6317
107	764	6314
108	771	6303
109	778	6300
110	785	6289
111	791	6278
112	799	6272
113	806	6267
114	814	6265
115	821	6262
116	829	6260
117	837	6259
118	844	6255
119	852	6251
120	859	6245
121	867	6243
122	874	6235
123	881	6229
124	888	6218
125	895	6209
126	901	6199
127	908	6188
128	916	6186
129	923	6178
130	930	6169
131	936	6158
132	943	6152
133	950	6142
134	957	6133
135	964	6124
136	971	6118
137	978	6112
138	985	6103
139	993	6100
140	999	6090
141	1007	6086
142	1013	6075
143	1021	6072
144	1028	6064
145	1036	6060
146	1042	6049
147	1048	6038
148	1055	6030
149	1062	6021
150	1069	6013
151	1075	6002
152	1083	6000
153	1090	5991
154	1097	5983
155	1104	5974
156	1111	5966
157	1118	5958
158	1124	5945
159	1130	5936
160	1137	5926
161	1144	5919
162	1151	5911
163	1157	5900
164	1164	5893
165	1171	5884
166	1177	5875
167	1184	5867
168	1192	5862
169	1200	5860
170	1207	5854
171	1215	5849
172	1222	5842
173	1228	5834
174	1236	5828
175	1243	5819
176	1250	5813
177	1256	5803
178	1263	5794
179	1270	5786
180	1276	5777
181	1283	5770
182	1290	5762
183	1298	5756
184	1304	5747
185	1311	5739
186	1317	5729
187	1324	5720
188	1332	5715
189	1338	5706
190	1345	5697
191	1351	5689
192	1359	5683
193	1366	5675
194	1372	5665
195	1379	5657
196	1385	5648
197	1393	5642
198	1399	5635
199	1408	5633
200	1414	5623
201	1422	5618
202	1429	5612
203	1436	5604
204	1443	5597
205	1449	5588
206	1456	5581
207	1463	5572
208	1470	5565
209	1477	5557
210	1484	5550
211	1491	5543
212	1498	5537
213	1505	5529
214	1512	5523
215	1519	5515
216	1526	5507
217	1532	5499
218	1539	5491
219	1546	5484
220	1553	5475
221	1560	5470
222	1567	5461
223	1574	5455
224	1582	5451
225	1590	5448
226	1598	5443
227	1607	5442
228	1614	5435
229	1623	5435
230	1630	5427
231	1638	5423
232	1645	5415
233	1652	5410
234	1659	5402
235	1666	5393
236	1672	5385
237	1679	5377
238	1686	5371
239	1694	5364
240	1701	5357
241	1707	5349
242	1715	5343
243	1721	5335
244	1729	5329
245	1736	5323
246	1743	5315
247	1750	5308
248	1757	5300
249	1764	5293
250	1770	5284
251	1777	5277
252	1784	5269
253	1791	5261
254	1798	5254
255	1805	5248
256	1812	5239
257	1819	5234
258	1826	5226
259	1834	5221
260	1841	5214
261	1849	5209
262	1855	5200
263	1862	5193
264	1869	5185
265	1876	5176
266	1883	5170
267	1889	5162
268	1897	5155
269	1903	5147
270	1910	5139
271	1917	5131
272	1923	5123
273	1931	5116
274	1937	5108
275	1945	5103
276	1952	5095
277	1959	5088
278	1965	5080
279	1973	5075
280	1980	5067
281	1987	5060
282	1994	5052
283	2001	5044
284	2008	5039
285	2015	5031
286	2022	5024
287	2028	5015
288	2035	5008
289	2042	5001
290	2051	4997
291	2058	4991
292	2065	4984
293	2072	4976
294	2079	4968
295	2085	4960
296	2092	4953
297	2099	4945
298	2106	4937
299	2112	4929
300	2119	4921
301	2126	4914
302	2132	4906
303	2139	4897
304	2146	4890
305	2152	4882
306	2160	4877
307	2167	4869
308	2174	4863
309	2181	4855
310	2189	4849
311	2195	4841
312	2202	4834
313	2209	4826
314	2215	4818
315	2222	4811
316	2229	4803
317	2236	4796
318	2243	4788
319	2250	4781
320	2257	4774
321	2263	4766
322	2271	4760
323	2277	4752
324	2285	4745
325	2291	4738
326	2298	4731
327	2305	4722
328	2312	4716
329	2318	4708
330	2325	4700
331	2332	4693
332	2339	4685
333	2346	4678
334	2352	4670
335	2359	4662
336	2366	4655
337	2374	4650
338	2381	4643
339	2388	4636
340	2395	4629
341	2402	4622
342	2409	4615
343	2415	4607
344	2422	4600
345	2429	4592
346	2436	4584
347	2442	4576
348	2449	4569
349	2456	4562
350	2464	4556
351	2470	4548
352	2477	4541
353	2485	4535
354	2492	4529
355	2499	4521
356	2506	4513
357	2513	4507
358	2519	4499
359	2526	4491
360	2533	4483
361	2539	4476
362	2546	4469
363	2553	4461
364	2560	4454
365	2567	4447
366	2574	4440
367	2581	4433
368	2588	4427
369	2596	4420
370	2602	4411
371	2608	4403
372	2615	4395
373	2621	4387
374	2628	4381
375	2635	4373
376	2642	4366
377	2649	4359
378	2656	4352
379	2663	4345
380	2669	4337
381	2676	4330
382	2683	4323
383	2691	4317
384	2698	4310
385	2706	4304
386	2713	4297
387	2720	4290
388	2727	4283
389	2733	4275
390	2740	4269
391	2747	4261
392	2754	4254
393	2761	4247
394	2768	4239
395	2775	4233
396	2782	4225
397	2789	4219
398	2796	4211
399	2803	4205
400	2810	4198
401	2817	4191
402	2824	4183
403	2830	4175
404	2837	4168
405	2843	4160
406	2850	4153
407	2857	4146
408	2864	4139
409	2871	4131
410	2878	4125
411	2885	4118
412	2892	4110
413	2899	4104
414	2906	4096
415	2913	4090
416	2920	4082
417	2927	4075
418	2934	4068
419	2940	4061
420	2947	4054
421	2954	4046
422	2961	4039
423	2968	4032
424	2975	4025
425	2982	4018
426	2989	4011
427	2996	4004
428	3003	3997
429	3009	3989
430	3016	3982
431	3023	3975
432	3030	3968
433	3037	3961
434	3044	3954
435	3051	3947
436	3058	3939
437	3064	3932
438	3071	3924
439	3077	3917
440	3084	3909
441	3090	3901
442	3097	3894
443	3104	3887
444	3111	3881
445	3118	3873
446	3125	3866
447	3132	3859
448	3139	3852
449	3146	3845
450	3153	3838
451	3160	3831
452	3166	3824
453	3173	3816
454	3180	3809
455	3187	3802
456	3193	3795
457	3200	3787
458	3207	3780
459	3213	3772
460	3220	3765
461	3226	3757
462	3233	3750
463	3240	3743
464	3247	3736
465	3254	3729
466	3261	3722
467	3268	3715
468	3275	3708
469	3282	3701
470	3288	3693
471	3295	3686
472	3302	3679
473	3309	3672
474	3315	3664
475	3322	3657
476	3329	3650
477	3336	3643
478	3344	3637
479	3350	3629
480	3358	3623
481	3365	3616
482	3372	3609
483	3379	3602
484	3386	3595
485	3392	3588
486	3399	3580
487	3406	3574
488	3413	3566
489	3419	3559
490	3427	3552
491	3434	3546
492	3440	3538
493	3447	3531
494	3454	3524
495	3460	3516
496	3467	3509
497	3474	3502
498	3481	3495
499	3488	3488
500	3495	3481
501	3501	3473
502	3508	3466
503	3515	3459
504	3522	3452
505	3529	3445
506	3536	3438
507	3543	3431
508	3550	3425
509	3558	3418
510	3565	3411
511	3572	3404
512	3579	3397
513	3585	3390
514	3592	3383
515	3599	3376
516	3606	3368
517	3613	3362
518	3619	3354
519	3626	3347
520	3633	3340
521	3639	3333
522	3646	3326
523	3653	3319
524	3660	3311
525	3668	3305
526	3675	3298
527	3682	3291
528	3688	3283
529	3695	3276
530	3701	3269
531	3708	3262
532	3715	3255
533	3721	3247
534	3729	3241
535	3736	3234
536	3743	3228
537	3750	3220
538	3757	3214
539	3764	3206
540	3771	3199
541	3778	3192
542	3784	3185
543	3792	3178
544	3798	3171
545	3805	3164
546	3812	3157
547	3819	3150
548	3825	3142
549	3833	3136
550	3839	3129
551	3846	3121
552	3852	3114
553	3859	3107
554	3866	3100
555	3873	3093
556	3881	3086
557	3888	3079
558	3894	3072
559	3901	3065
560	3908	3058
561	3914	3051
562	3921	3044
563	3929	3037
564	3935	3029
565	3943	3023
566	3949	3016
567	3957	3009
568	3964	3002
569	3971	2996
570	3977	2988
571	3984	2981
572	3992	2974
573	3998	2967
574	4005	2960
575	4011	2953
576	4018	2946
577	4025	2938
578	4031	2931
579	4038	2924
580	4044	2917
581	4051	2909
582	4057	2902
583	4064	2895
584	4071	2888
585	4078	2881
586	4085	2874
587	4091	2866
588	4098	2860
589	4105	2852
590	4112	2845
591	4118	2838
592	4125	2831
593	4132	2824
594	4139	2817
595	4146	2810
596	4153	2803
597	4160	2796
598	4167	2789
599	4173	2782
600	4180	2775
601	4187	2768
602	4194	2761
603	4201	2754
604	4208	2747
605	4215	2740
606	4222	2733
607	4228	2726
608	4235	2719
